metric,architecture,mean,std,n_numeric,n_na,n_bool
router_noise,mor,N/A,N/A,0,5,0
router_noise,more,N/A,N/A,0,5,0
routing_balance_normalization,moe,N/A,N/A,0,5,0
routing_balance_normalization,mor,N/A,N/A,0,5,0
routing_balance_normalization,more,N/A,N/A,0,5,0
routing_mode,moe,N/A,N/A,0,5,0
routing_mode,mor,N/A,N/A,0,5,0
routing_mode,more,N/A,N/A,0,5,0
train/aux_routing_loss,moe,-0.8004768657,0.009336205164,5,0,0
train/aux_routing_loss,mor,N/A,N/A,0,5,0
train/aux_routing_loss,more,-0.7690440222,0.007030446526,5,0,0
train/avg_recursion_steps,moe,N/A,N/A,0,5,0
train/avg_recursion_steps,mor,2.016921377,0.02132236749,5,0,0
train/avg_recursion_steps,more,2.064233804,0.0581725811,5,0,0
train/balance_to_task_ratio,moe,0.0132415015,0.0001674570329,5,0,0
train/balance_to_task_ratio,mor,N/A,N/A,0,5,0
train/balance_to_task_ratio,more,0.01276758669,0.0001640198921,5,0,0
train/classification_loss,moe,5.115522932e-05,8.017829507e-06,5,0,0
train/classification_loss,mor,2.699391348e-05,3.765026862e-06,5,0,0
train/classification_loss,more,4.166985063e-05,7.114731378e-06,5,0,0
train/entropy_term,moe,1.785755328,0.001879761639,5,0,0
train/entropy_term,mor,N/A,N/A,0,5,0
train/entropy_term,more,1.788233038,0.00251363721,5,0,0
train/entropy_term_normalized,moe,0.9966490252,0.001049114946,5,0,0
train/entropy_term_normalized,mor,N/A,N/A,0,5,0
train/entropy_term_normalized,more,0.9980318611,0.001402887638,5,0,0
train/expert_load_entropy_normalized,moe,0.9886050344,0.00524132022,5,0,0
train/expert_load_entropy_normalized,mor,N/A,N/A,0,5,0
train/expert_load_entropy_normalized,more,0.987457478,0.002915198045,5,0,0
train/family_cls_loss,moe,5.115522932e-05,8.017829507e-06,5,0,0
train/family_cls_loss,mor,2.699391348e-05,3.765026862e-06,5,0,0
train/family_cls_loss,more,4.166985063e-05,7.114731378e-06,5,0,0
train/halting_loss,moe,N/A,N/A,0,5,0
train/halting_loss,mor,0.2691490408,0.002830072697,5,0,0
train/halting_loss,more,0.2940149185,0.005672389014,5,0,0
train/halting_supervision_loss,moe,0,0,5,0,0
train/halting_supervision_loss,mor,0,0,5,0,0
train/halting_supervision_loss,more,0,0,5,0,0
train/ponder_cost,moe,N/A,N/A,0,5,0
train/ponder_cost,mor,0.2691490408,0.002830072697,5,0,0
train/ponder_cost,more,0.2940149185,0.005672389014,5,0,0
train/routing_balance_loss,moe,-0.8004768657,0.009336205164,5,0,0
train/routing_balance_loss,mor,N/A,N/A,0,5,0
train/routing_balance_loss,more,-0.7690440222,0.007030446526,5,0,0
train/step_routing_loss,moe,0.5892493297,0.04580045063,5,0,0
train/step_routing_loss,mor,0.571475066,0.0349323794,5,0,0
train/step_routing_loss,more,0.586841139,0.04514846884,5,0,0
train/switch_aux_term,moe,0.9852784626,0.01103233228,5,0,0
train/switch_aux_term,mor,N/A,N/A,0,5,0
train/switch_aux_term,more,1.019189036,0.004953642554,5,0,0
train/task_loss,moe,0.06045301205,0.000213824711,5,0,0
train/task_loss,mor,0.06150080116,0.0001731803072,5,0,0
train/task_loss,more,0.06023693762,0.0003599085881,5,0,0
train/total_loss,moe,0.05967811256,0.0002178675902,5,0,0
train/total_loss,mor,0.06178344721,0.000173825268,5,0,0
train/total_loss,more,0.05978274323,0.0003667938852,5,0,0
val/loss,moe,0.06326005875,0.0001532598233,5,0,0
val/loss,mor,0.06270564475,0.0001122670752,5,0,0
val/loss,more,0.06318631942,0.000248839776,5,0,0
val/routing_accuracy,moe,0.2016025803,0.1577579418,5,0,0
val/routing_accuracy,mor,N/A,N/A,0,5,0
val/routing_accuracy,more,0.1628685179,0.1864475565,5,0,0
val/routing_ami,moe,0.5131743614,0.0846978821,5,0,0
val/routing_ami,mor,N/A,N/A,0,5,0
val/routing_ami,more,0.4906606881,0.07364282743,5,0,0
val/routing_collapsed_experts,moe,N/A,N/A,0,5,0
val/routing_collapsed_experts,mor,N/A,N/A,0,5,0
val/routing_collapsed_experts,more,N/A,N/A,0,5,0
val/routing_f1/E1_ADD_SUB,moe,0.3999245891,0.2642364476,5,0,0
val/routing_f1/E1_ADD_SUB,mor,N/A,N/A,0,5,0
val/routing_f1/E1_ADD_SUB,more,0.341918198,0.3973393048,5,0,0
val/routing_f1/E2_MULT_DIV,moe,0.2293994699,0.3341630452,5,0,0
val/routing_f1/E2_MULT_DIV,mor,N/A,N/A,0,5,0
val/routing_f1/E2_MULT_DIV,more,0.2581558019,0.3777230878,5,0,0
val/routing_f1/E3_MOD_POW,moe,0.1353085773,0.2605586605,5,0,0
val/routing_f1/E3_MOD_POW,mor,N/A,N/A,0,5,0
val/routing_f1/E3_MOD_POW,more,0.1673775126,0.2852572358,5,0,0
val/routing_f1/E4_LOGIC,moe,0.1815575068,0.1660491511,5,0,0
val/routing_f1/E4_LOGIC,mor,N/A,N/A,0,5,0
val/routing_f1/E4_LOGIC,more,0.1949155761,0.1785890066,5,0,0
val/routing_f1/E5_SHIFT,moe,0.002555282555,0.005713785495,5,0,0
val/routing_f1/E5_SHIFT,mor,N/A,N/A,0,5,0
val/routing_f1/E5_SHIFT,more,0.005708622398,0.01276486774,5,0,0
val/routing_f1/E6_SORT_STAT,moe,0.2630170728,0.2737738762,5,0,0
val/routing_f1/E6_SORT_STAT,mor,N/A,N/A,0,5,0
val/routing_f1/E6_SORT_STAT,more,0.1063930274,0.2289162904,5,0,0
val/routing_f1_matched/E1_ADD_SUB,moe,0.4030086352,0.2693941901,5,0,0
val/routing_f1_matched/E1_ADD_SUB,mor,N/A,N/A,0,5,0
val/routing_f1_matched/E1_ADD_SUB,more,0.5925927372,0.2329750044,5,0,0
val/routing_f1_matched/E2_MULT_DIV,moe,0.5829510125,0.1872469597,5,0,0
val/routing_f1_matched/E2_MULT_DIV,mor,N/A,N/A,0,5,0
val/routing_f1_matched/E2_MULT_DIV,more,0.6491030717,0.2427185829,5,0,0
val/routing_f1_matched/E3_MOD_POW,moe,0.5391501405,0.05557780271,5,0,0
val/routing_f1_matched/E3_MOD_POW,mor,N/A,N/A,0,5,0
val/routing_f1_matched/E3_MOD_POW,more,0.5915632719,0.1311391142,5,0,0
val/routing_f1_matched/E4_LOGIC,moe,0.4306198848,0.1852861188,5,0,0
val/routing_f1_matched/E4_LOGIC,mor,N/A,N/A,0,5,0
