metric,architecture,mean,std,n_numeric,n_na,n_bool
recursion/avg_depth_by_family/L1_FUNCTION,mor,6.805859866,0.2408975924,5,0,0
recursion/avg_depth_by_family/L1_FUNCTION,more,6.941391077,0.01298892287,5,0,0
recursion/avg_depth_by_family/L2_NOUN,moe,1,0,5,0,0
recursion/avg_depth_by_family/L2_NOUN,mor,6.421264176,0.632072436,5,0,0
recursion/avg_depth_by_family/L2_NOUN,more,6.945187268,0.01414022725,5,0,0
recursion/avg_depth_by_family/L3_VERB,moe,1,0,5,0,0
recursion/avg_depth_by_family/L3_VERB,mor,6.746887255,0.330158037,5,0,0
recursion/avg_depth_by_family/L3_VERB,more,6.944460784,0.01349845603,5,0,0
recursion/avg_depth_by_family/L4_MODIFIER,moe,1,0,5,0,0
recursion/avg_depth_by_family/L4_MODIFIER,mor,6.600322491,0.4861939173,5,0,0
recursion/avg_depth_by_family/L4_MODIFIER,more,6.944687239,0.01432498299,5,0,0
recursion/avg_depth_by_family/L5_PUNCT_SYM,moe,1,0,5,0,0
recursion/avg_depth_by_family/L5_PUNCT_SYM,mor,6.772582307,0.2452097749,5,0,0
recursion/avg_depth_by_family/L5_PUNCT_SYM,more,6.949425193,0.01201121125,5,0,0
recursion/avg_depth_by_family/L6_NUM_SUBWORD,moe,1,0,5,0,0
recursion/avg_depth_by_family/L6_NUM_SUBWORD,mor,6.479661314,0.5315978254,5,0,0
recursion/avg_depth_by_family/L6_NUM_SUBWORD,more,6.941652058,0.01329099209,5,0,0
router_noise,moe,N/A,N/A,0,5,0
router_noise,mor,N/A,N/A,0,5,0
router_noise,more,N/A,N/A,0,5,0
routing_agreement_caption,moe,N/A,N/A,0,5,0
routing_agreement_caption,mor,N/A,N/A,0,5,0
routing_agreement_caption,more,N/A,N/A,0,5,0
routing_agreement_metric_key,moe,N/A,N/A,0,5,0
routing_agreement_metric_key,mor,N/A,N/A,0,5,0
routing_agreement_metric_key,more,N/A,N/A,0,5,0
routing_balance_normalization,moe,N/A,N/A,0,5,0
routing_balance_normalization,mor,N/A,N/A,0,5,0
routing_balance_normalization,more,N/A,N/A,0,5,0
routing_mode,moe,N/A,N/A,0,5,0
routing_mode,mor,N/A,N/A,0,5,0
routing_mode,more,N/A,N/A,0,5,0
total_params,moe,5584908,0,5,0,0
total_params,mor,5581063,0,5,0,0
total_params,more,5584908,0,5,0,0
train/aux_routing_loss,moe,0.1235342791,0.25561713,5,0,0
